id,label,title,year
paper_28,Paper,Explainable Recommendation via Interpretable Feature Mapping and Evaluation of Explainability,2020
Vladimir Araujo,Author,,
X. Li,Author,,
Shuo Yu,Author,,
Xin Dong,Author,,
Irwin King,Author,,
Tarek Junied,Author,,
Jing Ren,Author,,
A. Zakharov,Author,,
medical,Domain,,
paper_20,Paper,ProReco: A Process Discovery Recommender System,2025
Tina Seidel,Author,,
Kun Zhang,Author,,
Changbo Long,Author,,
M. B. Zafar,Author,,
Sebastian Lubos,Author,,
Qiyao Ma,Author,,
Ming He,Author,,
paper_33,Paper,Intent-aware Recommendation via Disentangled Graph Contrastive Learning,2023
autoencoder,Method,,
Xiao Wang,Author,,
Lixin Zou,Author,,
paper_25,Paper,FIRE: Faithful Interpretable Recommendation Explanations,2025
prompt,Method,,
Zelong Li,Author,,
Xiangjie Kong,Author,,
Haifeng Chen,Author,,
Vaibhav Unhelkar,Author,,
Z. Ren,Author,,
paper_11,Paper,Recommender systems for sustainability: overview and research issues,2023
precision,Metric,,
Jia Wang,Author,,
Hongtao Liu,Author,,
Pengjie Ren,Author,,
paper_45,Paper,XRec: Large Language Models for Explainable Recommendation,2024
Yonatan Fuchs,Author,,
Merfat El Mansi,Author,,
paper_12,Paper,Interactive Explanation with Varying Level of Details in an Explainable Scientific Literature Recommender System,2023
Oren Barkan,Author,,
Qiaoying Huang,Author,,
Juntao Tan,Author,,
rationale,ExplanationType,,
Yuling Wang,Author,,
Yingqiang Ge,Author,,
Luke Friedman,Author,,
Fabrizio Silvestri,Author,,
S. Morozov,Author,,
Alim Bukharaev,Author,,
Roan Schellingerhout,Author,,
Azzurra Ragone,Author,,
Chao Huang,Author,,
transformer,Method,,
Feng Xia,Author,,
Zhengzhang Chen,Author,,
Denis Parra,Author,,
Jialie Shen,Author,,
Jianxun Lian,Author,,
Damian Garber,Author,,
Noam Koenigstein,Author,,
Yunqi Li,Author,,
finetune,Method,,
music,Domain,,
paper_41,Paper,Explainable Recommendations via Attentive Multi-Persona Collaborative Filtering,2020
attention,ExplanationType,,
Peng Jiang,Author,,
Jiawei Zhang,Author,,
Minglai Shao,Author,,
Min Yang,Author,,
C. Shah,Author,,
Xing Su,Author,,
cnn,Method,,
R. Alatrash,Author,,
paper_47,Paper,Fairness-Aware Explainable Recommendation over Knowledge Graphs,2020
Angelo Schiavone,Author,,
Xiting Wang,Author,,
Hua Huang,Author,,
Mirko Marras,Author,,
Xiangnan He,Author,,
travel,Domain,,
Palash Choudhary,Author,,
Zi Huang,Author,,
Yong Liu,Author,,
Mouadh Guesmi,Author,,
paper_26,Paper,DISCO: A Hierarchical Disentangled Cognitive Diagnosis Framework for Interpretable Job Recommendation,2024
Hamid R. Rabiee,Author,,
Mingqi Wu,Author,,
Niloy Ganguly,Author,,
P. Haghighi,Author,,
B. Abdollahi,Author,,
Gjergji Kasneci,Author,,
Andreas Züfle,Author,,
Xingyi Zhang,Author,,
Yuhan Li,Author,,
Shuchang Liu,Author,,
Yuxiang Ren,Author,,
Enkelejda Kasneci,Author,,
T. D. Noia,Author,,
redial,Dataset,,
Jieyu Zhao,Author,,
Charles Packer,Author,,
Ziheng Chen,Author,,
paper_3,Paper,Explainable Multi-Stakeholder Job Recommender Systems,2024
Zirui Guo,Author,,
paper_31,Paper,Visually-Aware Personalized Recommendation using Interpretable Image Representations,2018
Soo-Hyun Choi,Author,,
Francesco Barile,Author,,
Tao Sheng,Author,,
paper_44,Paper,Explainable Restricted Boltzmann Machines for Collaborative Filtering,2016
Tsung-Hao Huang,Author,,
Yunfan Gao,Author,,
Tannaz Vahidi,Author,,
Saptarshi Ghosh,Author,,
paper_21,Paper,Towards Human-Centered Explainable AI: A Survey of User Studies for Model Explanations,2022
Clara Siepmann,Author,,
Yanchi Liu,Author,,
paper_8,Paper,Explainable Recommender With Geometric Information Bottleneck,2023
Dongxiao Zhu,Author,,
Tong Chen,Author,,
G. Fenu,Author,,
Vidya Saikrishna,Author,,
Jingchao Ni,Author,,
paper_19,Paper,A Co-design Study for Multi-Stakeholder Job Recommender System Explanations,2023
F. Febrinanto,Author,,
Mohammad Amanlou,Author,,
Mengdi Zhang,Author,,
Ivania Donoso-Guzm'an,Author,,
Bo Zong,Author,,
Y. Lin,Author,,
Xiangrui Li,Author,,
Xubin Ren,Author,,
Wei Wu,Author,,
Wenqiang Lei,Author,,
Yulan He,Author,,
Menghan Wang,Author,,
paper_4,Paper,Towards Explainable Conversational Recommender Systems,2023
paper_49,Paper,What You Like: Generating Explainable Topical Recommendations for Twitter Using Social Annotations,2022
S.M.F. Sani,Author,,
Jing Yao,Author,,
Giacomo Balloccu,Author,,
Jianpin Fan,Author,,
Alexey Petraikin,Author,,
Chuan Qin,Author,,
Yun Xiong,Author,,
Heng Chang,Author,,
James Caverlee,Author,,
Abhinav Arun,Author,,
Shoeb Joarder,Author,,
Yuntao Du,Author,,
saliency,ExplanationType,,
paper_37,Paper,Interpretable Vertebral Fracture Quantification via Anchor-Free Landmarks Localization,2022
paper_46,Paper,EXPLORE - Explainable Song Recommendation,2023
paper_5,Paper,"Measuring ""Why"" in Recommender Systems: a Comprehensive Survey on the Evaluation of Explainable Recommendation",2022
Xiaomeng Li,Author,,
Xing Xie,Author,,
Tobias Leemann,Author,,
Haixun Wang,Author,,
